height_m,distance_km,hit,t_end
2000,20,1,33.4
2000,30,0,80
2000,40,0,95
2000,50,0,120
2000,60,0,116.6
2000,70,0,120
2000,80,0,120
3000,20,1,30.6
3000,30,0,81.6
3000,40,0,95.6
3000,50,0,120
3000,60,0,120
3000,70,0,120
3000,80,0,120
4000,20,1,29.8
4000,30,0,85.2
4000,40,0,101.8
4000,50,0,120
4000,60,0,120
4000,70,0,120
4000,80,0,120
5000,20,1,28.8
5000,30,1,51.6
5000,40,0,103.2
5000,50,0,120
5000,60,0,120
5000,70,0,120
5000,80,0,120
6000,20,1,28.6
6000,30,1,43.6
6000,40,0,106.4
6000,50,1,81
6000,60,0,120
6000,70,0,120
6000,80,0,120
7000,20,1,28.8
7000,30,1,40.4
7000,40,1,50.4
7000,50,1,71.2
7000,60,1,82.2
7000,70,0,120
7000,80,0,120
8000,20,1,29.2
8000,30,1,38.4
8000,40,1,47.4
8000,50,1,61.4
8000,60,1,83.8
8000,70,1,98.4
8000,80,0,120
9000,20,1,29.2
9000,30,1,36.6
9000,40,1,46.8
9000,50,1,58.8
9000,60,1,74.8
9000,70,1,89.4
9000,80,1,102
10000,20,1,28.4
10000,30,1,36
10000,40,1,45
10000,50,1,56
10000,60,1,67.2
10000,70,1,83.2
10000,80,1,96.8
